trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
174,False,"{'a': 0.5, 'e': 0.3488327643136072}",20,7,24.704629536232034,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.3467397677277256}",20,0,35.642764175476955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.3446593291213592}",20,0,24.716920295480254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.3425913731466311}",20,13,11.961680783569442,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.3405358249077513}",20,14,11.295200974635993,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.33849260995830477}",20,0,26.590578765324317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.33646165429855496}",20,6,21.489507843612365,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.3344428843727636}",25,2,39.46659239838397,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.33243622706652703}",25,1,31.64465618529701,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.3304416097041279}",25,0,36.78019674522095,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.5, 'e': 0.3284589600459031}",20,2,26.985548842968534,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
